,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_tot_gas_heat,num_mhh_age,num_hh_ann_incm
2358,2016_HS3810000032,2016_HH16380002,3,2,3,9,4,2,5,72.6,2,1,1,8,3,3,4,4,1,7185.1909437,758.03773109,35,18000000
2359,2016_HS3810000033,2016_HH11380062,3,2,3,1,5,2,5,59.4,2,1,1,3,3,3,4,4,1,10652.523798,664.40629135,55,25000000
2360,2016_HS3810000034,2016_HH11380063,3,2,3,2,4,2,5,59.4,2,1,1,3,3,3,4,5,1,11128.693908,1607.0232395,45,25000000
2361,2016_HS3810000035,2016_HH12380023,3,2,3,6,4,2,5,59.4,2,1,1,3,3,3,4,5,3,6865.4134167,632.20982441,45,54000000
2362,2016_HS3810000036,2016_HH11380064,3,2,3,6,4,2,5,59.4,2,1,1,3,3,3,4,3,1,12030.923878,761.28627305,55,25000000
2363,2016_HS3810000037,2016_HH11380065,3,2,3,7,4,2,5,59.4,2,1,1,3,3,3,4,3,1,13047.981347,986.09330781,55,25000000
2364,2016_HS3810000038,2016_HH11380066,3,2,3,8,4,2,5,59.4,2,1,1,3,3,3,4,2,5,6195.8836232,2275.7717696,67,12000000
2365,2016_HS3811100001,2016_HH11380076,3,2,1,1,6,1,4,108.9,4,1,2,5,5,3,3,6,1,12650.51,0.0,45,25000000
2366,2016_HS3811100002,2016_HH11380077,3,2,1,1,6,2,4,112.2,3,1,2,7,2,3,3,2,1,11660.655742,0.0,67,18000000
2367,2016_HS3811100003,2016_HH12380032,3,2,1,1,6,2,4,105.6,4,1,2,7,2,1,3,3,1,5534.7112557,0.0,55,18000000
2368,2016_HS3811100004,2016_HH12380033,3,2,1,2,5,4,1,82.5,3,1,1,7,2,3,3,1,5,3680.4053887,0.0,67,12000000
2369,2016_HS3811100005,2016_HH11380078,3,2,1,1,6,2,5,105.6,3,1,2,6,4,1,3,4,1,9452.4756543,0.0,67,42000000
2370,2016_HS3811100006,2016_HH12380034,3,2,1,1,5,4,1,85.8,3,1,1,10,2,1,3,1,5,7013.05,0.0,55,12000000
2371,2016_HS3811100007,2016_HH15380017,3,2,1,1,6,1,5,72.6,2,1,1,16,2,3,3,2,5,8368.8464098,0.0,67,12000000
2372,2016_HS3811100008,2016_HH12380035,3,2,1,2,5,4,4,99.0,3,1,1,5,2,3,3,4,1,7240.1965872,0.0,45,18000000
2373,2016_HS3811100009,2016_HH15380018,3,2,1,1,6,3,1,49.5,3,1,1,6,2,3,3,1,5,6183.8071986,0.0,67,12000000
2374,2016_HS3811100010,2016_HH12380036,3,2,1,2,5,1,5,105.6,3,1,2,12,1,3,4,3,1,7823.1611491,5487.0942282,55,42000000
2375,2016_HS3811100011,2016_HH14380013,3,2,1,2,5,1,5,99.0,2,1,1,6,1,3,4,3,1,6931.615454,4910.8125267,55,18000000
2376,2016_HS3811100012,2016_HH12380037,3,2,1,1,5,2,3,85.8,3,1,1,8,2,1,3,4,5,9974.95,0.0,55,25000000
2377,2016_HS3811100013,2016_HH12380038,3,2,3,3,4,4,3,69.3,2,1,1,7,1,3,4,4,1,5717.03,2096.43,35,25000000
2378,2016_HS3811200001,2016_HH12380030,3,2,1,1,6,4,4,66.0,2,1,1,8,1,3,4,2,5,8158.4819037,5077.7125008,67,18000000
2379,2016_HS3811200002,2016_HH11380074,3,2,1,1,6,3,4,128.7,4,1,1,5,1,3,4,3,1,10001.183265,6921.8217414,45,18000000
2380,2016_HS3811200003,2016_HH11380075,3,2,1,1,6,2,4,102.3,3,1,1,5,1,3,4,4,3,23762.19,20912.15,55,25000000
2381,2016_HS3811200004,2016_HH15380016,3,2,1,1,5,3,4,46.2,2,1,1,16,1,3,4,2,5,5183.690807,3175.7537088,55,12000000
2382,2016_HS3811200005,2016_HH12380031,3,2,3,13,3,4,4,115.5,4,1,2,13,1,3,4,3,1,17367.26,13412.98,35,42000000
2383,2016_HS3811400001,2016_HH11380073,3,2,3,2,3,4,3,39.6,2,1,1,3,1,3,4,6,3,10329.12,6654.34,55,18000000
2384,2016_HS3811400002,2016_HH12380028,3,2,3,3,4,2,3,66.0,1,1,1,6,1,1,4,6,2,3217.99,1700.09,55,12000000
2385,2016_HS3811400003,2016_HH15380014,3,2,1,2,5,1,3,115.5,4,1,2,20,2,1,3,2,5,5804.6094245,0.0,67,12000000
2386,2016_HS3811400004,2016_HH15380015,3,2,1,2,5,1,3,92.4,2,1,1,16,1,1,4,1,5,5988.6857957,4347.7103709,67,12000000
2387,2016_HS3811400005,2016_HH14380012,3,2,1,1,6,1,2,115.5,3,1,1,20,1,3,4,5,1,7116.3998192,4637.6786141,45,18000000
