,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_mhh_age,num_hh_ann_incm
61,1,1,3,5,2,2,5,191.4,4,1,2,22,1,3,5,4,4,9487.511719,35,6
62,3,1,3,12,2,1,4,105.6,3,1,2,12,3,3,4,4,3,13492.810995,67,54000000
63,3,1,3,14,4,2,6,99.0,3,1,2,7,1,1,4,4,1,8736.8527854,45,42000000
64,3,2,1,1,6,3,1,46.2,2,1,1,3,5,3,3,1,1,13319.1,67,18000000
65,3,1,3,2,2,1,4,82.5,3,1,1,6,1,3,4,3,1,10887.558626,55,54000000
66,3,2,1,1,6,4,1,118.8,3,1,1,10,2,3,3,2,2,4682.3447568,67,2
67,2,2,3,11,2,1,4,79.19999999999999,3,1,1,8,1,1,4,4,1,7352.3056834,45,54000000
68,3,2,1,1,6,1,2,49.5,3,1,1,3,2,1,3,2,1,8577.8,45,54000000
69,3,2,1,1,6,1,2,75.89999999999999,3,1,2,6,5,3,3,2,1,13143.54,45,25000000
70,3,2,1,1,5,2,1,33.0,1,1,1,3,5,3,3,1,3,11303.250842,67,12000000
71,2,2,2,2,4,1,3,46.2,2,1,1,3,1,3,4,2,5,6413.1771763,67,1
72,2,2,1,1,6,1,1,33.0,1,0,1,7,2,1,3,1,3,4641.85,55,1
73,1,1,3,9,3,2,5,66.0,2,1,1,8,3,3,4,3,1,10493.3259,55,54000000
74,3,2,1,1,5,4,5,85.8,3,1,1,6,2,3,3,4,1,14535.04,45,5
75,3,1,1,1,3,1,4,99.0,3,1,1,8,1,3,4,2,2,13426.771368,67,4
76,1,2,1,1,5,2,4,49.5,2,1,1,7,4,1,3,2,1,4950.88,45,18000000
77,1,1,3,8,3,1,5,108.9,3,1,2,10,3,3,5,3,1,6916.7706751,55,9
78,3,2,1,1,6,1,1,75.9,3,1,1,4,2,1,3,1,4,14904.8,67,1
79,3,1,3,1,5,4,4,112.2,3,1,2,7,1,3,4,4,5,9357.6490622,55,25000000
80,2,2,1,1,6,2,5,128.7,4,1,1,6,4,3,3,1,5,20360.39,67,12000000
81,2,2,3,3,4,1,4,79.19999999999999,3,1,2,4,1,3,4,1,5,6530.72,67,12000000
82,3,2,3,1,2,2,4,105.6,3,1,2,10,1,3,4,4,1,24095.328869,55,6
83,3,1,3,2,4,1,5,66.0,3,1,2,22,1,3,4,4,1,12846.764458,45,66000000
84,3,2,3,3,4,2,3,42.9,2,0,1,12,1,1,3,1,3,5951.6563922,25,25000000
85,2,2,1,1,6,1,4,99.0,3,1,1,16,4,1,3,5,1,6396.1332742,55,25000000
86,1,2,3,1,5,3,3,56.1,2,1,1,5,1,3,4,2,1,14936.182011,45,25000000
87,3,2,2,3,4,4,5,125.4,3,1,2,5,1,1,4,2,5,3336.89,45,54000000
88,1,2,1,2,4,1,5,59.4,3,1,1,16,1,3,5,4,3,17670.953774,55,4
89,1,2,2,2,3,1,3,82.5,3,1,1,20,1,3,4,2,5,6052.54,67,1
90,1,2,3,3,3,3,5,105.6,3,1,2,8,3,3,4,2,5,14343.859636,45,42000000
91,1,1,1,1,6,4,1,29.7,1,0,0,3,5,1,5,1,5,25812.9,67,1
92,1,2,3,12,4,1,4,69.3,2,1,1,6,3,3,4,4,5,7737.7943688,45,54000000
93,3,1,3,3,4,2,4,75.89999999999999,3,1,1,6,1,3,4,2,1,17610.37,55,42000000
94,1,1,1,1,5,3,1,42.9,1,1,1,2,2,3,3,2,1,9304.25,35,42000000
95,3,2,2,1,3,4,5,56.1,2,1,1,4,1,1,4,4,1,10017.567604,45,3
96,3,1,2,2,4,1,2,82.5,3,1,1,12,2,3,3,5,3,13830.54,35,42000000
97,1,1,3,6,2,2,5,141.9,4,1,2,18,3,3,5,3,5,7401.7949361,55,25000000
98,1,2,2,2,6,1,3,52.8,1,1,1,8,1,2,4,2,5,8726.1771618,67,18000000
99,1,2,3,11,2,4,4,122.1,3,1,1,12,3,3,4,4,1,5360.84,55,78000000
100,3,1,3,16,3,1,4,108.9,3,1,2,18,1,1,4,1,5,9707.68,67,12000000
101,2,2,1,1,6,1,3,82.5,3,1,1,15,2,3,3,2,3,18972.82,67,12000000
102,3,1,2,2,4,2,5,85.8,3,1,2,6,1,3,4,2,1,10952.541828,67,42000000
103,1,2,3,1,3,2,5,115.5,3,1,2,13,3,3,4,4,1,7482.5696271,45,54000000
104,3,1,3,4,5,1,2,82.5,3,1,1,14,1,3,4,3,3,11569.386278,55,42000000
105,3,1,1,1,5,2,5,95.7,3,1,2,10,2,3,3,4,1,9107.09,45,42000000
106,1,2,2,2,4,1,4,69.3,2,1,1,6,1,1,4,3,5,8862.775994,45,25000000
107,3,1,1,2,4,1,3,66.0,3,1,1,15,1,3,4,4,3,5940.4628178,55,54000000
108,1,1,3,1,2,3,3,105.6,3,1,1,10,1,3,4,3,1,7540.081473,35,42000000
109,3,1,2,3,4,1,4,82.5,3,1,2,8,1,3,4,2,1,15639.072549,55,54000000
110,1,1,1,1,6,3,1,36.3,2,0,1,2,5,1,3,2,2,27839.78,67,18000000
111,3,1,2,2,4,2,4,75.89999999999999,3,1,1,8,1,3,4,4,1,9627.68556,55,42000000
112,3,2,3,7,2,3,6,66.0,2,1,1,6,1,3,4,3,1,7808.2994491,35,5
113,3,1,1,1,4,1,3,42.9,2,1,1,6,2,3,3,1,1,7365.27,45,25000000
114,1,2,1,1,5,4,2,66.0,2,1,1,8,2,1,3,2,1,14547.4,35,25000000
115,2,2,1,1,6,1,1,75.89999999999999,4,1,1,10,2,1,3,2,3,9303.82,67,18000000
116,3,2,2,3,4,1,4,115.5,3,1,2,8,1,3,4,4,1,10484.12,55,25000000
117,3,2,3,4,2,1,4,75.9,3,1,1,8,1,3,4,2,1,11283.990401,55,2
118,3,2,1,1,6,2,5,132.0,3,1,2,6,1,1,3,4,1,6426.7,45,25000000
119,1,2,2,1,5,1,4,72.6,3,1,1,4,1,3,5,3,5,4003.5023448,35,25000000
120,1,1,3,8,2,1,5,105.6,3,1,2,5,1,3,5,4,3,19721.059608,55,66000000
121,3,2,1,1,6,3,4,59.4,2,1,1,5,5,1,3,1,3,26722.78,67,1
122,1,2,3,14,2,1,5,79.19999999999999,3,1,1,6,1,3,4,2,3,5889.44,55,25000000
123,2,2,3,14,4,1,3,42.9,2,0,1,5,1,1,4,3,1,1813.33,45,18000000
124,1,1,2,1,5,1,4,62.7,2,1,1,6,1,3,4,3,1,10125.631868,45,25000000
125,2,2,3,2,4,2,4,72.6,3,1,1,8,1,3,4,2,5,7674.68,67,3
126,1,1,3,13,2,1,5,85.8,2,1,1,14,1,3,4,3,1,11702.28,45,54000000
127,3,2,1,1,6,1,1,59.4,2,1,1,4,2,3,3,2,3,6922.66,67,4
128,1,2,3,6,2,3,5,148.5,4,1,2,17,1,3,5,3,1,11837.206118,45,5
129,1,1,3,4,4,3,5,148.5,3,1,2,16,3,3,4,5,3,12452.647665,45,66000000
130,3,2,3,4,4,1,4,56.1,1,1,1,3,1,3,4,3,1,12263.47,35,3
131,3,2,3,2,4,1,6,59.4,3,1,1,8,1,3,4,6,3,10351.042803,67,6
132,1,1,1,1,6,3,6,132.0,3,1,2,8,1,1,4,4,2,8979.01,67,42000000
133,1,1,3,8,3,2,4,108.9,3,1,2,12,1,3,4,4,1,18173.033609,45,90000000
134,1,2,3,20,3,1,4,99.0,3,1,2,9,1,3,5,2,2,14794.13,55,2
135,3,2,3,5,4,1,4,75.89999999999999,3,1,1,8,1,3,4,3,1,14376.06,55,42000000
136,3,1,1,1,5,4,3,89.1,3,1,2,10,1,3,4,2,3,7984.22,45,3
137,2,2,1,1,4,3,4,85.8,3,1,1,8,2,1,3,2,5,6752.4,67,12000000
