,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_tot_gas_heat,num_mhh_age,num_hh_ann_incm
772,HS2306000020,HH12230023,1,1,3,5,3,3,5,69.3,3,1,1,5,3,3,4,5,5,17070.084754,1637.51,55,18000000
773,HS2306000021,HH13230038,1,1,3,24,5,3,4,108.89999999999999,3,1,2,16,1,3,5,2,1,17909.17,13423.41,35,54000000
774,HS2307000001,HH13230001,1,1,3,21,5,1,4,105.6,3,1,1,16,1,3,4,2,3,15963.59,13235.67,35,42000000
775,HS2308000001,HH12230024,1,1,3,4,4,4,3,66.0,2,1,1,8,1,3,4,4,1,18459.50034,15360.92034,45,25000000
776,HS2308000002,HH11230026,1,1,3,4,4,4,3,105.6,3,1,1,8,1,3,4,4,1,11094.61,8375.29,45,42000000
777,HS2308000003,HH12230025,1,1,3,5,4,4,3,66.0,2,1,1,8,1,3,4,4,1,15621.795557,12632.435557,45,25000000
778,HS2308000004,HH12230026,1,1,3,5,4,4,3,66.0,2,1,1,8,1,3,4,3,2,13127.35569,11609.45569,45,25000000
779,HS2308000005,HH11230027,1,1,3,6,5,4,3,75.89999999999999,3,1,1,8,1,1,4,4,1,20112.08,15749.3,35,25000000
780,HS2308000006,HH11230028,1,1,3,11,4,3,3,102.3,3,1,1,8,1,1,4,2,5,26287.57,23561.37,45,66000000
781,HS2308000007,HH11230029,1,1,3,13,4,3,3,102.3,3,1,1,8,1,1,4,4,2,19132.3,15645.0,45,66000000
782,HS2308000008,HH11230030,1,1,3,13,4,3,3,102.3,3,1,1,8,1,1,4,3,2,17575.34,15040.06,45,25000000
783,HS2308000009,HH11230031,1,1,3,14,5,3,3,102.3,3,1,1,8,1,3,4,4,1,15263.87,12776.75,55,54000000
784,HS2308000010,HH11230032,1,1,3,5,4,3,3,102.3,3,1,1,8,1,1,4,4,1,17525.22201,14063.72201,45,42000000
785,HS2308000011,HH11230033,1,1,1,1,5,2,3,23.099999999999998,1,1,1,2,2,1,3,2,2,7682.12,0.0,45,25000000
786,HS2308000012,HH13230039,1,1,3,17,4,1,5,79.19999999999999,2,1,1,8,1,3,5,3,1,5456.326872,2894.386872,45,54000000
787,HS2308000013,HH13230040,1,1,3,3,3,2,5,115.5,3,1,2,13,1,3,4,4,1,13011.56,10659.46,45,66000000
788,HS2308000014,HH11230034,1,1,3,10,3,4,6,108.89999999999999,3,1,2,8,1,3,4,3,1,18707.7,15749.3,45,25000000
789,HS2308000015,HH11230035,1,1,3,9,4,4,6,108.89999999999999,3,1,2,8,1,3,4,3,2,17535.66,14539.42,35,42000000
790,HS2308000016,HH11230036,1,1,1,1,5,2,1,92.39999999999999,3,1,2,8,2,1,3,2,1,9367.84,0.0,35,25000000
791,HS2308000017,HH11230037,1,1,1,1,6,3,2,69.3,3,1,1,10,1,3,4,4,5,12136.204489,9231.124489,55,25000000
792,HS2308000018,HH14230011,1,1,3,17,2,2,6,112.19999999999999,3,1,2,7,3,3,4,5,1,13275.213806,2123.1150279,45,90000000
793,HS2308000019,HH13230041,1,1,3,10,2,2,6,132.0,4,1,2,22,3,3,4,4,1,6058.2701791,1835.8204785,45,96000000
794,HS2331000001,HH11230001,1,1,1,1,6,1,4,102.3,3,1,2,14,4,3,3,3,2,6680.43,0.0,67,25000000
795,HS2331000002,HH11230002,1,1,1,1,6,1,4,105.6,4,1,1,6,4,1,3,2,1,2606.26,0.0,45,25000000
796,HS2331000003,HH11230003,1,1,2,1,6,1,3,79.19999999999999,3,1,1,8,4,1,3,2,1,5139.16,0.0,35,25000000
797,HS2331000004,HH12230001,1,1,1,1,6,1,1,125.39999999999999,4,1,1,5,2,1,3,4,3,12799.64,0.0,55,25000000
798,HS2331000005,HH11230004,1,1,1,1,6,1,4,85.8,3,1,1,8,2,1,3,4,5,7321.07,0.0,55,18000000
799,HS2331000006,HH11230005,1,1,1,1,6,1,4,85.8,3,1,1,8,4,1,3,4,5,14285.66,0.0,45,54000000
800,HS2401000001,HH16240008,3,1,1,3,4,1,5,29.7,1,0,1,2,1,3,4,1,1,2212.72,646.66,35,18000000
801,HS2401000002,HH16240009,3,1,2,1,4,2,5,29.7,1,0,1,2,1,3,4,1,1,2175.7,479.78,25,18000000
802,HS2401000003,HH15240015,3,1,2,1,5,2,2,19.799999999999997,2,1,1,6,2,1,5,1,5,6733.92,0.0,67,12000000
803,HS2401000004,HH15240016,3,1,2,1,5,2,2,52.8,2,1,1,4,2,1,5,1,5,7158.44,0.0,67,12000000
804,HS2401000005,HH11240011,3,1,2,1,6,1,4,69.3,2,1,1,7,2,3,3,2,5,14553.35,0.0,67,12000000
805,HS2401000006,HH11240012,3,1,1,1,6,1,1,79.19999999999999,4,1,1,10,2,1,3,4,1,15654.74,0.0,45,18000000
806,HS2401000007,HH12240024,3,1,2,2,5,1,5,75.89999999999999,3,1,1,6,1,3,3,1,5,1595.64,0.0,67,25000000
807,HS2401000008,HH14240002,3,1,2,3,4,4,6,42.9,1,0,1,2,1,2,4,1,1,2233.2658463,597.53385078,25,25000000
808,HS2402000001,HH11240020,3,1,3,11,4,3,4,102.3,3,1,2,8,1,3,4,3,1,13487.53,10941.07,45,54000000
809,HS2402000002,HH11240021,3,1,3,2,4,3,4,102.3,3,1,2,8,1,3,4,2,5,15363.66,11556.44,67,54000000
810,HS2402000003,HH11240022,3,1,3,5,4,3,4,102.3,3,1,2,8,1,1,4,2,1,13755.28,10805.48,45,54000000
811,HS2402000004,HH11240023,3,1,3,6,4,3,4,102.3,3,1,2,8,1,3,4,3,1,14621.96,11765.04,45,54000000
812,HS2402000005,HH11240024,3,1,3,6,4,3,4,102.3,3,1,2,8,1,3,4,2,1,13401.45,10607.31,67,42000000
813,HS2402000006,HH12240032,3,1,3,1,5,3,4,102.3,3,1,2,13,1,3,4,4,1,13786.17,10961.93,35,66000000
814,HS2402000007,HH12240033,3,1,3,6,4,3,4,102.3,3,1,2,12,1,1,4,2,1,13265.02,10555.16,45,54000000
815,HS2402000008,HH11240025,3,1,3,10,4,2,3,102.3,4,1,2,7,1,3,4,2,5,8378.874096,5478.954096,45,42000000
816,HS2402000009,HH12240034,3,1,3,11,4,2,3,102.3,4,1,2,13,1,1,4,2,3,6687.5,5068.98,67,12000000
817,HS2402000010,HH11240026,3,1,3,4,4,2,3,102.3,4,1,2,7,1,3,4,2,3,12929.8,11306.12,67,18000000
818,HS2402000011,HH12240035,3,1,3,6,4,2,3,102.3,4,1,2,10,1,1,4,3,3,12528.1,10972.36,55,42000000
819,HS2402000012,HH11240027,3,1,3,10,4,1,4,105.6,3,1,2,8,1,3,4,2,3,10348.98,8782.06,55,42000000
820,HS2402000013,HH11240028,3,1,3,11,4,1,4,105.6,3,1,2,8,1,1,4,4,3,14038.18,12432.56,55,42000000
