,id_hh,id_hs,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_hh_ann_incm,num_heat_satis,num_heat_cost_rel,num_mhh_age,num_tot_energy_heat,num_tot_gas_heat,num_tot_gas_vol,lv_cg,lv_meter,lv_indv,lv_measure
2201,HH14370013,HS3709000017,2,2,3,2,2,2,4,105.6,3,1,2,8,1,1,4,1,5,1,3,3,67,6150.0667599,4033.6067599,391.9928824,1,1.0,1,1.0
2202,HH11370047,HS3709000018,2,2,3,6,4,2,4,105.6,3,1,1,8,1,3,4,1,5,5,2,3,67,6149.8723686,3639.5323686,353.69605137,1,1.0,1,1.0
2203,HH18370023,HS3709000019,2,2,3,6,5,2,4,72.6,3,1,1,8,1,1,4,1,5,1,3,3,67,10332.065231,7579.2052309,736.56027511,1,1.0,1,1.0
2204,HH14370001,HS3710000001,2,2,1,1,6,1,2,82.5,3,1,1,16,2,3,3,2,3,4,3,3,67,9388.34,0.0,0.0,0,0.0,1,0.0
2205,HH12370002,HS3710000003,2,2,1,1,6,3,4,85.8,3,1,1,8,2,1,3,2,3,1,3,3,67,8790.46,0.0,0.0,0,0.0,1,0.0
2206,HH11370001,HS3710000005,2,2,1,1,6,3,2,75.9,4,1,1,6,2,3,3,2,3,2,3,3,67,9041.74,0.0,0.0,0,0.0,1,0.0
2207,HH11370002,HS3710000007,2,2,1,1,6,3,1,33.0,1,1,1,7,2,1,3,2,5,1,3,3,67,6222.2,0.0,0.0,0,0.0,1,0.0
2208,HH12370003,HS3710000008,2,2,1,1,5,3,5,66.0,2,1,1,8,2,1,3,2,3,3,3,3,67,8875.64,0.0,0.0,0,0.0,1,0.0
2209,HH17370024,HS3710000011,2,2,1,1,6,4,1,99.0,2,1,1,6,2,3,3,5,3,4,3,3,67,14465.22,0.0,0.0,0,0.0,1,0.0
2210,HH17370026,HS3710000013,2,2,1,1,6,2,3,125.4,2,1,1,4,2,3,3,2,3,5,3,3,67,8404.6,0.0,0.0,0,0.0,1,0.0
2211,HH18370001,HS3710000020,2,2,1,1,6,1,1,66.0,2,1,1,4,2,1,3,2,3,2,3,3,67,8111.36,0.0,0.0,0,0.0,1,0.0
2212,HH18370018,HS3710000021,2,2,1,1,6,1,1,66.0,2,1,1,8,2,1,3,1,5,1,3,3,67,8521.44,0.0,0.0,0,0.0,1,0.0
2213,HH18370009,HS3710000022,2,2,2,3,2,2,5,181.5,4,1,2,16,1,3,4,4,1,7,2,2,55,15451.39,12173.07,1183.0,1,1.0,1,1.0
2214,HH12370024,HS3734000001,2,2,1,1,6,1,4,62.7,2,1,1,6,2,1,3,2,3,1,3,3,67,16878.56,0.0,0.0,0,0.0,1,0.0
