,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_mhh_age,num_hh_ann_incm,num_tot_energy_heat,num_tot_gas_heat
241,HS1118000003,HH13110076,1,1,1,3,5,3,4,99.0,4,1,1,8,1,3,4,4,5,67,96000000,18098.85,14528.99
242,HS1118000006,HH13110078,1,1,3,1,3,1,3,59.4,2,1,1,8,1,1,4,3,1,35,25000000,7627.5,6049.4
243,HS1118000008,HH13110080,1,1,3,4,3,1,5,59.4,2,1,1,8,1,3,4,5,1,35,54000000,8359.71,5267.15
244,HS1118000009,HH13110081,1,1,3,2,2,1,3,85.8,2,1,1,7,1,3,4,3,1,45,54000000,9110.45,6894.23
245,HS1118000010,HH13110082,1,1,3,13,2,1,5,85.8,2,1,1,14,1,3,4,3,3,45,18000000,15357.08,11014.08
246,HS1118000011,HH16110007,1,1,3,6,4,2,5,105.6,3,1,2,12,1,3,5,4,1,67,96000000,12396.84,8719.48
247,HS1118000012,HH17110078,1,1,1,2,5,1,4,115.5,3,1,2,7,1,3,4,4,1,55,96000000,10926.69,7457.45
248,HS1118000013,HH13110077,1,1,1,3,4,2,4,112.19999999999999,4,1,2,6,1,1,4,3,3,67,66000000,6078.71,3202.01
249,HS1118000014,HH17110079,1,1,1,2,5,2,3,178.2,4,1,1,6,1,3,4,3,2,67,42000000,12666.12,9136.68
250,HS1119000002,HH13110227,1,1,3,15,2,1,5,79.19999999999999,3,1,1,10,1,3,4,4,3,55,66000000,11948.340073,9554.100073
251,HS1119000003,HH13110228,1,1,3,6,2,1,5,125.39999999999999,3,1,2,16,1,3,4,3,5,67,42000000,9838.2,7238.42
252,HS1119000005,HH13110230,1,1,3,11,3,3,5,181.5,3,1,2,26,3,1,4,4,4,45,66000000,17314.450463,1477.595785
253,HS1119000006,HH13110231,1,1,3,23,5,4,5,115.5,4,1,2,10,1,3,4,4,5,45,78000000,10150.85,6956.81
254,HS1119000007,HH13110232,1,1,3,7,4,4,5,115.5,4,1,2,10,1,3,5,5,5,55,54000000,17292.55,13423.41
255,HS1119000008,HH13110226,1,1,3,10,5,1,5,112.19999999999999,3,1,2,14,1,3,4,3,1,45,96000000,13784.91,11087.09
256,HS1119000009,HH17110080,1,1,3,12,2,3,3,92.39999999999999,2,1,2,8,1,3,5,2,1,45,66000000,3709.948656,1313.128656
257,HS1119000010,HH17110081,1,1,1,2,5,2,4,66.0,3,1,1,5,1,3,4,3,1,67,42000000,6526.6827543,2802.8827543
258,HS1119000011,HH17110082,1,1,1,2,5,2,4,82.5,3,1,1,4,1,3,5,3,3,67,54000000,18327.570327,15591.566285
259,HS1120000002,HH14110025,1,1,1,1,5,1,2,79.19999999999999,2,1,1,10,2,3,3,4,3,55,42000000,13099.7,0.0
260,HS1120000003,HH14110026,1,1,2,3,4,1,2,42.9,1,1,1,7,2,3,3,3,1,35,25000000,17734.58,0.0
261,HS1120000004,HH14110027,1,1,1,1,5,3,1,33.0,1,1,1,4,5,3,3,4,3,45,18000000,18777.76,0.0
262,HS1120000005,HH14110028,1,1,2,1,5,3,1,59.4,2,1,1,4,5,3,3,4,3,45,25000000,19217.29,0.0
263,HS1120000009,HH13110126,1,1,1,1,6,1,2,108.89999999999999,4,1,2,12,1,3,4,5,1,55,78000000,20134.4051,15922.1251
264,HS1120000011,HH13110128,1,1,3,15,3,3,5,112.19999999999999,3,1,2,14,1,3,5,4,1,55,66000000,22248.795195,19352.315195
265,HS1120000016,HH13110133,1,1,2,4,5,2,5,108.89999999999999,3,1,2,11,1,3,4,4,1,45,42000000,11531.282318,7808.342318
266,HS1120000018,HH13110135,1,1,1,2,4,4,3,59.4,2,1,1,4,1,2,4,3,1,45,66000000,14144.418205,10952.098205
267,HS1120000019,HH11110010,1,1,2,1,5,3,2,49.5,2,1,1,3,1,3,4,2,3,67,18000000,11357.083252,10456.663252
268,HS1120000021,HH11110011,1,1,2,1,5,3,1,39.599999999999994,2,1,1,5,2,3,3,2,2,55,12000000,9645.13,0.0
269,HS1120000022,HH17110083,1,1,1,1,5,2,4,72.6,2,1,1,6,1,1,4,1,1,45,18000000,6876.739462,4368.119462
270,HS1120000023,HH17110084,1,1,1,2,4,2,4,72.6,4,1,2,6,1,3,4,4,1,55,78000000,18071.986821,16145.586821
271,HS1120000024,HH17110085,1,1,1,1,3,4,1,49.5,2,1,1,4,1,3,5,3,3,55,54000000,15270.867958,8039.1279585
272,HS1120000025,HH17110086,1,1,1,1,3,2,5,39.599999999999994,2,1,1,4,1,3,4,3,1,55,42000000,9252.53466,6671.67466
273,HS1120000026,HH17110087,1,1,3,7,2,1,4,148.5,4,1,2,5,3,3,4,4,1,55,78000000,21113.718431,12003.134789
274,HS1120000027,HH13110132,1,1,2,1,4,1,3,49.5,2,1,1,4,1,3,4,3,1,45,18000000,5018.980852,3221.580852
275,HS1120000028,HH17110088,1,1,1,2,4,1,4,92.39999999999999,3,1,1,4,1,3,4,4,1,45,54000000,9839.8580524,7013.8980524
276,HS1120000029,HH13110130,1,1,1,2,6,1,4,99.0,3,1,2,3,1,3,5,3,1,45,25000000,14969.784278,11030.984278
277,HS1120000030,HH17110089,1,1,3,8,2,1,5,105.6,3,1,2,5,1,3,5,4,3,55,66000000,19721.059608,16832.319608
278,HS1120000031,HH17110090,1,1,3,15,2,3,5,105.6,3,1,2,3,1,3,4,3,3,55,96000000,19180.894841,16187.234841
